step,epoch,lr,loss,grad_norm_global,grad_norm_encoder.blocks.0,grad_norm_encoder.blocks.1,grad_norm_encoder.blocks.2,grad_norm_encoder.blocks.3,grad_norm_encoder.blocks.4,grad_norm_encoder.blocks.5,grad_norm_encoder.blocks.6,grad_norm_encoder.blocks.7,grad_norm_encoder.blocks.8,grad_norm_encoder.blocks.9,grad_norm_encoder.blocks.10,grad_norm_encoder.blocks.11
350,0,2.375726401805878e-06,3.2782039642333984,6.238156976605845,1.3762797124461115,0.7818358523761348,0.7556082016682317,0.8496481218585521,0.7388601011607124,0.8083684899293487,0.6543510988793821,0.7161367185454675,0.6105985195035093,0.5286051905452167,0.4745772700253769,0.4381629249714597
360,0,2.375726401805878e-06,3.476189136505127,8.295036669281695,2.2484383708758817,1.2826777749564655,1.3902767013439574,1.6316031303694247,1.1752289114130428,1.0528676198145206,0.8257713992449237,0.7098462299065941,0.6539893743831487,0.5626114104982219,0.4697837055660123,0.4799050639859204
370,0,2.375726401805878e-06,2.7661333084106445,7.360671260194511,1.5309778728993042,0.9015643822651986,0.8591050179930727,0.982616869781483,0.840407291878677,0.8731653832256691,0.7495175920803447,0.6630459843245243,0.582609994271452,0.4876733736166666,0.4633514310073241,0.4216041941765318
380,0,2.375726401805878e-06,3.4909400939941406,7.424337060760614,2.430484205427586,1.1053026989181378,1.0860205647934422,1.1847462669374098,0.9268523926453273,0.9083974503060247,0.6457149798912801,0.5950976027879628,0.5347512556988425,0.46460815784117826,0.4338056959286855,0.3674743769199819
390,0,2.375726401805878e-06,2.644564390182495,8.51895327229861,3.043072926395126,1.6596387703188191,1.6394237351880643,1.8836585734944788,1.4081293296847601,1.2540511278372137,0.9533979192745197,0.8099068288203479,0.710941383891088,0.6447051106560423,0.5151460017154879,0.4430235765924045
400,0,2.375726401805878e-06,3.498845100402832,8.93378097710836,3.689050095410629,1.6318369978987457,1.5648729548160822,1.5848944362530404,1.2445472853131392,1.2301986162470064,0.9127570351069624,0.8134713482038491,0.7461812363657657,0.688167266378734,0.5944090544516333,0.5072884127640649
410,0,2.375726401805878e-06,3.14907169342041,7.845051609235731,1.8330754570141188,1.00242944936501,0.9290152599957852,1.0726388868853594,0.910841180560356,0.881453448615658,0.7078549525839515,0.7314377205577088,0.625621728700603,0.5143863348346541,0.5150441718740328,0.4527672938555265
420,0,2.375726401805878e-06,3.2126975059509277,8.00640565869693,2.145884646668481,1.1254758965261829,0.9998698946201857,1.0968794433241051,0.9789224600713949,1.0332914613776052,0.8399935368596011,0.8244142179980681,0.759716995242289,0.5902786818441701,0.48359170343402147,0.4461230074136455
430,0,2.375726401805878e-06,3.6920554637908936,8.350016282957274,2.4282216667084198,1.371149323921866,1.3043860562992133,1.3552956092852964,1.1879661734537106,1.2602951888165888,0.9902420713169799,0.9758230887880422,0.8925764111365719,0.6671139208634862,0.5228933067816358,0.49104588897267953
440,0,2.375726401805878e-06,3.419287919998169,6.4291001004996176,1.562139766558082,0.844733923245344,0.8183254062534291,0.8933259005346564,0.8114337444983519,0.8132746917785577,0.7262246573185501,0.712609805700692,0.6362397730562169,0.5673644033170698,0.5236399715066417,0.43268854686009944
450,0,2.375726401805878e-06,3.217399835586548,6.371601945080626,1.947030412405346,1.167814605618248,1.1541699986330023,1.2667566585017382,1.0335131112270992,1.0551381078216786,0.7431497490821268,0.8425826212144353,0.660419741391561,0.49307915806058494,0.4273796015828096,0.36058599870146585
460,0,2.375726401805878e-06,2.8829336166381836,7.787030430085011,1.8335748216841996,1.0268683572169832,0.9922819705658023,1.1278226470704464,0.9665569136166198,1.0285324198762011,0.8510038575937934,0.7731445441236847,0.7105268353962227,0.6042585053164975,0.5160566961270286,0.43002808048524804
470,0,2.375726401805878e-06,3.573089122772217,6.929562197993639,2.0377303419567636,1.2074743430820596,1.2844100748885474,1.3027813525099352,1.0415542547083996,0.9820340645093927,0.7665225757323006,0.7760638149692798,0.6936906724537287,0.5807170495268279,0.4872108126243594,0.4177132312232959
480,0,2.375726401805878e-06,2.472463607788086,8.349824566585609,2.1575014769043555,1.159232037976229,1.2053425839491443,1.420821940662677,1.2215676087839686,1.1621114511556472,0.9346649029625372,0.8953005130697413,0.7809710410691976,0.6708522744569735,0.5416516746056139,0.5412905737189824
490,0,2.375726401805878e-06,2.18245005607605,8.458999668250732,2.4342828974362716,1.3694384427796782,1.273810613427975,1.331784252009399,1.200902600630276,1.3601293026914116,1.010487619982972,0.9035576453663661,0.8851493195144752,0.7249072312116149,0.6163300824676738,0.5471291932110645
500,0,2.375726401805878e-06,3.1628339290618896,8.305730952932876,2.792162971432705,1.3758142930982191,1.3440465419932508,1.3074120024879854,1.1686276553828256,1.1824413341710276,0.8633732708280153,0.7321624766492636,0.6526126010209181,0.5308592198404029,0.49440966855792645,0.40230523492093423
510,0,2.375726401805878e-06,3.272630214691162,10.59295289429463,3.587410791357813,1.6742846949923706,1.4695765596774408,1.5461997878596863,1.2439689005768204,1.1098221154026908,0.8999425911572249,0.7720595843766828,0.7186521070387687,0.5914618774224165,0.49072663494769864,0.4311585303454179
520,0,2.375726401805878e-06,3.6371543407440186,8.964680842608876,2.0557929978220084,1.3525631994867822,1.3706526477429477,1.4991846378263458,1.1842969382804005,1.2202827786319386,0.9044501154382677,0.8253656117962664,0.7290245284667616,0.6007475361948829,0.5347705974760043,0.49488890160356036
530,0,2.375726401805878e-06,3.922961711883545,9.485406394008056,2.7906556771241346,1.3912973063583665,1.3923948579379355,1.5783725586365158,1.3364204017729848,1.3998975697985845,1.081414838043074,1.0315354790389024,0.8560195860619749,0.7456819824332082,0.6341738015603652,0.5368418854282028
540,0,2.375726401805878e-06,3.012951612472534,7.190380509159236,2.3957296949598734,1.2658371530692278,1.2264929189524283,1.3631852694588973,1.0351396066468042,1.0929293163516198,0.7795548580648274,0.6932112943341963,0.6306823275502744,0.5276917158857547,0.46059667602367765,0.4054334208193886
550,0,2.375726401805878e-06,3.237028121948242,7.529766323135487,1.583076345428029,0.8541599856977242,0.7643582286635783,0.9064663174144196,0.7998735450306096,0.7957457759716333,0.6927701108565086,0.6723029903424196,0.5861032915192292,0.5139971933731635,0.46578053993086016,0.40209576750343945
560,0,2.375726401805878e-06,3.488710403442383,7.9809183675478055,2.264727466488894,1.2843603421824927,1.1820994588128906,1.241989474399337,1.1598967798523196,1.0376253816743135,0.8821037607880056,0.8339281400563886,0.6900900116964429,0.6430503867647477,0.5105565055721165,0.4675893491020871
570,0,2.375726401805878e-06,3.5178775787353516,7.458710864077004,2.531953631892017,1.3117185993984193,1.2200175079404347,1.3461758363544234,1.1665405152275963,1.2078766048181202,0.9572334699474185,0.8562597391217852,0.8066181873636888,0.7093026046168837,0.6084041116377984,0.5150975760932164
580,0,2.375726401805878e-06,2.955864429473877,7.6184774879148245,2.029537729845493,1.111796166519411,1.0507068863642974,1.2759058664484852,1.1094108131429632,1.204000808065325,0.8990037095368583,0.8192121513606226,0.6982501558348505,0.6231498744182652,0.533170960774067,0.5167125186462317
590,0,2.375726401805878e-06,2.9714174270629883,6.503523544701891,1.884155596434019,1.0255499455310855,0.9507593299451327,1.2309783089194493,0.9362211698178187,1.014847302928175,0.7498570109016114,0.7445288368214416,0.595314545933005,0.5683387737328783,0.4741853925389425,0.4218661645536933
600,0,2.375726401805878e-06,3.231618881225586,6.243058719792056,1.547943508747426,0.8777531727110428,0.9093357951164012,1.0694299583533398,0.8478965392603289,0.7987567595865201,0.6933274639169281,0.6467873139973594,0.6019308197911044,0.5489490691454013,0.41485620720494365,0.4050534224343547
610,0,2.375726401805878e-06,2.990739345550537,7.688964238589614,2.5092858077228666,1.4164604633723303,1.4363329147658292,1.6667453901663092,1.3670108955497144,1.2949315965664772,1.0396368914031262,0.8945324812482653,0.8398262478320183,0.7426090735244463,0.6076967216582977,0.5017155336028825
620,0,2.375726401805878e-06,2.6294877529144287,9.425868740780404,3.400567847038574,1.7510469894399314,1.7595403209629161,1.9591957358710865,1.6111441733108098,1.5282538848028289,1.2728196914955994,0.9800359720881252,0.979185046795773,0.8399155535297665,0.6751315488066474,0.5201082374115134
630,0,2.375726401805878e-06,3.1524887084960938,8.130428767926942,2.135326892559828,1.2980955555987315,1.1907817284685838,1.3298433046616616,1.1758230016316704,1.2299249114823758,0.9604495048795244,0.9707286958803174,0.8855867237355391,0.737377671975861,0.6382430863370911,0.5240811063725763
